callsign,inband_qso_count,tk0c_total_qso_count,cn3a_reached
L33M,1,2,true
LA0GE,1,1,true
LA1K,3,5,true
LA6ZJA,1,1,false
LA7GIA,6,6,true
LA7JKA,1,2,false
LA8HGA,6,6,true
LA8OM,1,1,true
LA9GX,1,3,true
LA9WDA,1,1,true
LB2WD,2,2,false
LB5WB,2,5,true
LC9X,1,1,false
LN2T,1,4,true
LN8W,3,6,true
LS5H,3,4,true
LT6T,1,1,true
LT7D,1,1,true
LU1DZ,1,1,true
LU3WC,1,1,true
LU5EA,1,1,true
LU5FF,1,1,true
LU6D,2,2,true
LU7HF,1,1,true
LW2DHD,1,1,true
LW2DX,1,1,true
LX1NO,1,1,true
LX7I,6,6,true
LY1DZ,1,1,false
LY1M,1,1,true
LY2A,1,1,true
LY2AX,5,7,true
LY2J,4,6,true
LY2NK,4,5,true
LY2PX,3,3,true
LY2SA,1,5,true
LY2X,2,3,true
LY4G,1,1,true
LY4L,5,6,true
LY5O,2,2,true
LY5R,3,6,true
LY5T,3,3,true
LY5W,3,5,true
LY6C,3,4,false
LY6O,3,5,true
LY7K,4,6,true
LY7R,4,6,true
LY7T,1,1,true
LY7W,1,1,true
LY7Z,1,1,true
LZ1AQ,1,1,true
LZ1BJ,1,1,false
LZ1FH,1,1,true
LZ1JZ,1,1,true
LZ1ND,2,2,true
LZ1QN,1,3,true
LZ1ZF,3,4,true
LZ1ZJ,4,5,true
LZ1ZM,1,1,true
LZ2FV,2,3,true
LZ3QE,1,2,true
LZ4R,1,1,true
LZ5EE,1,1,true
LZ5M,2,2,true
LZ5R,2,4,true
LZ5Y,3,4,true
LZ6C,1,1,true
LZ6E,1,6,true
LZ6F,1,1,true
LZ6K,1,1,true
LZ6O,1,1,true
LZ6Y,1,1,false
LZ7A,2,6,true
LZ7DL,1,3,true
LZ7DX,1,1,true
LZ7M,2,3,true
LZ8E,2,6,true
LZ9W,2,6,true
M0MPM,1,1,true
M0NPT,1,3,true
M0PCB,1,2,true
M0RYB,4,7,true
M0TJU,1,1,true
M0UDD,1,1,false
M0WJE,1,1,true
M0X,6,6,true
M3E,2,2,true
M4D,3,4,true
M4E,4,6,true
M4J,4,5,true
M4T,2,5,true
M5A,1,1,true
M5B,1,1,true
M5LGM,1,2,false
M5M,3,5,true
M6N,3,6,true
M6T,3,8,true
MD2C,1,1,true
MD4K,1,1,true
ME5W,1,1,true
MI0BPB,2,3,false
MI5I,6,6,true
MM2T,3,7,true
MM9I,5,6,true
MW2I,1,1,true
N0AT,1,1,true
N0AX,1,3,true
N0GN,1,3,true
N0HJZ,1,1,true
N0KK,1,1,true
N0UR,2,5,true
N1BA,2,2,false
N1DC,1,3,true
N1DE,3,5,true
N1KWF,1,1,false
N1RR,1,1,true
N1TO,1,3,true
N2AA,2,2,true
N2EM,2,4,true
N2GC,1,2,true
N2LBR,1,1,true
N2LK,1,1,true
N2MF,1,1,true
N2MM,2,4,true
N2NI,2,3,true
N2NL,3,5,true
N2NT,3,6,true
N2OO,1,3,true
N2PP,1,1,true
N2QV,1,1,true
N2RD,2,4,true
N2TX,3,6,true
N2ZA,1,3,true
N3AD,1,3,true
N3FR,1,2,true
N3MN,1,2,true
N3RD,4,6,true
N3RS,3,7,true
N3WT,1,1,true
N3XF,2,3,true
N4AF,3,7,true
N4BP,1,1,true
N4CW,1,3,true
N4DJ,2,5,true
N4DW,1,5,true
N4GG,1,2,true
N4HAI,1,1,true
N4HB,1,2,true
N4KH,2,3,true
N4KS,1,1,true
N4OX,1,1,true
N4PSE,1,3,true
N4QS,1,1,true
N4RJ,1,1,true
N4RV,1,1,true
N4TB,1,1,true
N4TZ,1,6,true
N4UU,1,2,true
N4WW,3,6,true
N4XD,1,1,true
N5AW,1,3,true
N5JJ,3,5,true
N5RZ,2,3,true
N5TJ,1,1,true
N5TOO,1,2,true
N5XZ,2,3,true
N6AR,1,3,true
N6NT,1,3,true
N6RO,2,6,true
N7DR,2,3,true
N7DX,3,3,true
N7ELL,1,1,true
N7TU,1,1,true
N8II,2,3,true
N8OO,3,4,true
N9EP,1,3,true
N9NC,2,6,true
N9RV,4,6,true
N9TK,1,1,true
NA8V,4,6,true
NB1N,2,3,true
NC2Y,1,2,true
ND3T,6,6,true
NF9V,1,2,true
NG3J,1,2,true
NJ2OM,3,3,false
NJ3K,1,1,true
NK4O,3,3,true
NM4AA,5,5,true
NN1SS,2,6,true
NN3Q,2,3,true
NN3RP,1,2,true
NN7CW,5,5,true
NO8C,2,4,true
NO9E,2,2,true
NP3A,1,1,true
NP3Y,1,2,true
NP3YL,1,1,true
NR4M,4,6,true
NS3T,1,1,true
NS4T,3,5,true
NT2DR,1,1,true
NW3Y,3,4,true
NY3A,1,1,true
NZ4N,1,4,true
OA4O,1,1,true
OE1CIW,1,2,true
OE1UVA/3,1,1,true
OE2S,4,6,true
OE3A,5,6,true
OE3WMA,5,6,true
OE5AEN,1,1,false
OE5ARN,2,4,true
OE5CYL,1,2,true
OE5OHO,4,4,true
OE5OSO,1,1,false
OE5POP,2,2,false
OE6VIE,1,1,true
OE6Z,5,6,true
OE8XEF,4,5,true
OF9X,4,7,true
OG1F,5,6,true
OG4T,1,1,false
OG5B,1,1,true
OG5O,2,6,true
OG7A,1,2,true
OG8W,1,1,false
OH0V,6,6,true
OH0Z,5,6,true
OH1D,1,1,false
OH1LA,3,5,true
OH1MM,1,1,false
OH1VR,5,6,true
OH2BBM,1,1,false
OH2CV,1,1,true
OH2KW,2,3,true
OH2N,1,1,true
OH2PQ,5,6,true
OH2XX,4,4,true
OH3FM,6,6,true
OH3JF,1,1,false
OH3OJ,2,4,true
OH3Z,3,3,true
OH4KZM/P,1,1,false
OH5ME,1,1,false
OH5Z,2,6,true
OH7K,4,6,true
OH7L,3,4,true
OH8KA,1,1,true
OH8L,1,1,true
OH8WW,1,1,true
OH8X,1,3,true
OH8Z,1,1,false
OK1CF,1,1,true
OK1CO,2,2,true
OK1FKD,1,1,true
OK1FPG,1,2,false
OK1FPQ,1,1,true
OK1HEH,1,2,true
OK1IP,1,2,true
OK1KKI,2,6,true
OK1MM,1,1,false
OK1MZM,1,2,true
OK1NU,1,1,true
OK1OA,2,4,true
OK1OPT,4,5,true
OK1PI,1,2,true
OK1RR,3,3,true
OK1SI,1,2,true
OK1TN,3,6,true
OK1VK,2,4,true
OK2DM,1,1,true
OK2EA,2,3,true
OK2GG,1,1,true
OK2HBR,1,1,true
OK2IW,2,3,true
OK2J,2,4,true
OK2NAJ,1,2,true
OK2PIM,1,1,true
OK2QA,2,3,true
OK2TJ,3,5,true
