callsign,inband_qso_count,d4c_total_qso_count,cn3a_reached
PI4DX,1,2,true
PI4MM,1,1,false
PJ2T,5,5,true
PJ4A,3,6,true
PJ7/G4JEC,1,2,true
PJ7EE,4,4,true
PP2RON,3,4,true
PP4T,2,2,true
PP5AX,1,4,true
PP8ZAC,1,1,false
PR5Y,1,1,true
PT1K,1,4,true
PT2AW,1,1,true
PT5J,1,1,true
PT7BI,3,3,false
PT7WM,2,5,true
PV2K,1,1,true
PV8DX,1,1,true
PW2E,1,1,true
PX2A,2,7,true
PX4M,3,4,false
PY2FRQ,1,1,true
PY2IB,1,3,true
PY2KJ,2,3,true
PY2NY,3,3,true
PY2RSA,1,1,true
PY2VL,1,1,false
PY2XL,2,3,true
PY4HO,4,5,false
PY4XX,1,2,true
PY5AMF,1,1,true
PY5FB,1,3,true
PY7RP,1,2,true
PY7XC,1,4,true
PY8WW,1,1,true
PZ5CO,5,6,true
R0RT,2,2,false
R1MJ,1,2,true
R2IN,1,1,true
R2QA,2,5,true
R3FA,1,1,true
R3LA,1,3,true
R3ZJ,1,2,true
R4BZ,2,2,true
R4LC,1,1,true
R4PH,1,2,true
R4RT,1,3,true
R5MA,1,1,false
R6KA,3,3,false
R7CA,1,5,true
R7KX,2,3,true
R8TT,1,1,true
R9CP,2,2,true
R9FT,2,4,true
R9GM,1,2,true
R9LY,2,2,true
R9YC,2,2,true
RA0AY,1,1,true
RA0SMS,1,2,true
RA3AGF,1,1,true
RA3RLJ,3,4,true
RA4Y,1,1,true
RA5AD,1,2,true
RA6MQ,2,2,false
RA9P,2,5,true
RA9SN,1,1,false
RA9Y,4,5,true
RC3U,2,3,true
RC6U,2,2,false
RC9J,2,2,true
RG2A,1,1,true
RG3R,1,1,true
RG6G,3,4,true
RG8U,1,1,true
RK3TT,1,2,true
RL3T,1,1,true
RM2U,3,6,true
RM3F,1,1,true
RM9A,1,3,true
RN3QO,2,2,false
RN4AO,2,2,false
RN4SS,1,3,true
RO2E,1,1,true
RT0F,1,1,true
RT2F,4,5,true
RT3G,1,4,true
RT4F,2,2,true
RT5F,1,2,true
RU0LL,2,2,true
RU3DNN,1,2,true
RU4LM,1,1,true
RU5A,3,4,true
RU6CO,1,2,true
RU9AC,1,1,false
RU9CK,1,1,true
RW3X,1,1,true
RW4CLF,1,2,true
RW9AV,1,1,true
RW9QA,1,1,true
RX3AEX,1,1,true
RZ4W,1,1,true
S50A,1,2,true
S51DD,1,2,true
S52C,2,5,true
S52ZD,1,1,true
S53M,1,6,true
S53O,1,2,true
S53XX,1,1,true
S54K,1,1,false
S55N,1,3,false
S57A,2,2,true
S57J,2,2,true
S57K,2,3,true
S58D,1,2,true
S58M,1,5,true
S58W,1,2,true
S59L,1,1,true
SA7A,1,1,false
SB3W,1,1,true
SB7S,3,3,false
SC6O,1,4,true
SC7DX,1,4,true
SD6F,4,6,true
SD6M,3,4,true
SE0X,3,4,true
SE3P,2,6,true
SE4E,1,3,true
SE5T,3,5,true
SF0A,2,4,true
SF5X,1,1,true
SF6J,1,2,false
SF7X,1,2,true
SJ2W,2,5,true
SK0QO,1,4,true
SK3W,2,3,true
SK6EI,2,5,true
SK6KU,3,4,true
SM0HRP,4,5,true
SM0Q,1,1,true
SM0SRP,1,1,false
SM2CEW,5,5,true
SM2EKM,4,4,true
SM3EAE,2,2,true
SM3EVR,3,4,true
SM5ACQ,2,4,true
SM5CSS,1,2,true
SM5EIE,1,1,true
